Date,Open,High,Low,Close,Adj Close,Volume
2014-01-03,3074.429932,3074.429932,3074.429932,3074.429932,3074.429932,0
2014-01-06,3069.159912,3069.159912,3069.159912,3069.159912,3069.159912,0
2014-01-07,3110.959961,3110.959961,3110.959961,3110.959961,3110.959961,0
2014-01-08,3110.659912,3110.659912,3110.659912,3110.659912,3110.659912,0
2014-01-09,3090.260010,3090.260010,3090.260010,3090.260010,3090.260010,0
2014-01-10,3104.149902,3104.149902,3104.149902,3104.149902,3104.149902,0
2014-01-13,3111.939941,3111.939941,3111.939941,3111.939941,3111.939941,0
2014-01-14,3119.530029,3119.530029,3119.530029,3119.530029,3119.530029,0
2014-01-15,3168.760010,3168.760010,3168.760010,3168.760010,3168.760010,0
2014-01-16,3150.199951,3150.199951,3150.199951,3150.199951,3150.199951,0
2014-01-17,3154.100098,3154.100098,3154.100098,3154.100098,3154.100098,0
2014-01-20,3153.169922,3153.169922,3153.169922,3153.169922,3153.169922,0
2014-01-21,3153.080078,3153.080078,3153.080078,3153.080078,3153.080078,0
2014-01-22,3151.270020,3151.270020,3151.270020,3151.270020,3151.270020,0
2014-01-23,3117.080078,3117.080078,3117.080078,3117.080078,3117.080078,0
2014-01-24,3028.199951,3028.199951,3028.199951,3028.199951,3028.199951,0
2014-01-27,3014.620117,3014.620117,3014.620117,3014.620117,3014.620117,0
2014-01-28,3038.600098,3038.600098,3038.600098,3038.600098,3038.600098,0
2014-01-29,3011.449951,3011.449951,3011.449951,3011.449951,3011.449951,0
2014-01-30,3027.300049,3027.300049,3027.300049,3027.300049,3027.300049,0
2014-01-31,3013.959961,3013.959961,3013.959961,3013.959961,3013.959961,0
2014-02-03,2963.959961,2963.959961,2963.959961,2963.959961,2963.959961,0
2014-02-04,2962.489990,2962.489990,2962.489990,2962.489990,2962.489990,0
2014-02-05,2962.510010,2962.510010,2962.510010,2962.510010,2962.510010,0
2014-02-06,3010.790039,3010.790039,3010.790039,3010.790039,3010.790039,0
2014-02-07,3038.489990,3038.489990,3038.489990,3038.489990,3038.489990,0
2014-02-10,3032.530029,3032.530029,3032.530029,3032.530029,3032.530029,0
2014-02-11,3077.080078,3077.080078,3077.080078,3077.080078,3077.080078,0
2014-02-12,3094.889893,3094.889893,3094.889893,3094.889893,3094.889893,0
2014-02-13,3097.949951,3097.949951,3097.949951,3097.949951,3097.949951,0
2014-02-14,3119.060059,3119.060059,3119.060059,3119.060059,3119.060059,0
2014-02-17,3118.909912,3118.909912,3118.909912,3118.909912,3118.909912,0
2014-02-18,3117.439941,3117.439941,3117.439941,3117.439941,3117.439941,0
2014-02-19,3120.800049,3120.800049,3120.800049,3120.800049,3120.800049,0
2014-02-20,3121.590088,3121.590088,3121.590088,3121.590088,3121.590088,0
2014-02-21,3131.669922,3131.669922,3131.669922,3131.669922,3131.669922,0
2014-02-24,3157.310059,3157.310059,3157.310059,3157.310059,3157.310059,0
2014-02-25,3157.479980,3157.479980,3157.479980,3157.479980,3157.479980,0
2014-02-26,3148.189941,3148.189941,3148.189941,3148.189941,3148.189941,0
2014-02-27,3134.939941,3134.939941,3134.939941,3134.939941,3134.939941,0
2014-02-28,3149.229980,3149.229980,3149.229980,3149.229980,3149.229980,0
2014-03-03,3053.989990,3053.989990,3053.989990,3053.989990,3053.989990,0
2014-03-04,3136.330078,3136.330078,3136.330078,3136.330078,3136.330078,0
2014-03-05,3135.969971,3135.969971,3135.969971,3135.969971,3135.969971,0
2014-03-06,3144.530029,3144.530029,3144.530029,3144.530029,3144.530029,0
2014-03-07,3095.310059,3095.310059,3095.310059,3095.310059,3095.310059,0
2014-03-10,3092.790039,3092.790039,3092.790039,3092.790039,3092.790039,0
2014-03-11,3092.550049,3092.550049,3092.550049,3092.550049,3092.550049,0
2014-03-12,3065.459961,3065.459961,3065.459961,3065.459961,3065.459961,0
2014-03-13,3019.540039,3019.540039,3019.540039,3019.540039,3019.540039,0
2014-03-14,3004.639893,3004.639893,3004.639893,3004.639893,3004.639893,0
2014-03-17,3049.189941,3049.189941,3049.189941,3049.189941,3049.189941,0
2014-03-18,3073.750000,3073.750000,3073.750000,3073.750000,3073.750000,0
2014-03-19,3076.360107,3076.360107,3076.360107,3076.360107,3076.360107,0
2014-03-20,3088.899902,3088.899902,3088.899902,3088.899902,3088.899902,0
2014-03-21,3096.489990,3096.489990,3096.489990,3096.489990,3096.489990,0
2014-03-24,3052.909912,3052.909912,3052.909912,3052.909912,3052.909912,0
2014-03-25,3096.639893,3096.639893,3096.639893,3096.639893,3096.639893,0
2014-03-26,3130.169922,3130.169922,3130.169922,3130.169922,3130.169922,0
2014-03-27,3133.750000,3133.750000,3133.750000,3133.750000,3133.750000,0
